ingredient_name,category,risk_level,explanation,caution_group,allergen_type
Sugar,Natural Sweetener,Moderate,Raises blood glucose levels when consumed in excess,Diabetic individuals,NULL
Salt,Natural Mineral,Low,Essential mineral but excess intake increases blood pressure,Hypertension patients,NULL
Wheat flour,Natural Ingredient,Moderate,Contains gluten protein which may cause intolerance,People with celiac disease,Gluten
Milk powder,Natural Ingredient,Moderate,Dairy product containing lactose and milk proteins,Lactose intolerant individuals,Dairy
Aspartame,Artificial Sweetener,High,Artificial sugar substitute affecting glucose metabolism,Diabetic individuals; PKU patients,NULL
MSG (Monosodium Glutamate),Flavor Enhancer,Moderate,Enhances taste but may trigger sensitivity in some individuals,MSG-sensitive individuals,NULL
Citric acid,Preservative,Low,Used as acidity regulator and preservative,Generally safe,NULL
Sodium benzoate,Preservative,Moderate,Prevents microbial growth but may cause sensitivity,Sensitive individuals,NULL
Tartrazine (E102),Artificial Color,High,Synthetic food coloring linked to allergic reactions,Children; allergy-prone individuals,NULL
Palm oil,Vegetable Oil,Moderate,High saturated fat content impacting heart health,Heart patients,NULL
Soy lecithin,Emulsifier,Moderate,Helps mix ingredients but may trigger soy allergies,Soy allergy patients,Soy
Artificial flavor,Flavor Additive,Moderate,Synthetic compound used to enhance taste,Sensitive individuals,NULL
High fructose corn syrup,Artificial Sweetener,High,Rapidly increases blood glucose levels,Diabetic individuals,NULL
Potassium sorbate,Preservative,Low,Prevents mold and yeast growth in food,Generally safe,NULL
Calcium carbonate,Stabilizer,Low,Used to stabilize and fortify food products,Generally safe,NULL
Sodium nitrate,Preservative,High,Used in processed meats may form harmful compounds,General population (long-term risk),NULL
Caramel color,Artificial Color,Moderate,Used for coloring food products,Sensitive individuals,NULL
Maltodextrin,Additive,Moderate,Processed carbohydrate affecting blood sugar levels,Diabetic individuals,NULL
Guar gum,Stabilizer,Low,Thickening agent derived from guar beans,Generally safe,NULL
Xanthan gum,Stabilizer,Low,Thickening agent used in food products,Generally safe,NULL
Artificial sweetener (Sucralose),Artificial Sweetener,High,Synthetic sugar substitute affecting metabolism,Diabetic individuals,NULL
Corn starch,Natural Ingredient,Low,Used as thickener and stabilizer,Generally safe,NULL
Skim milk solids,Natural Ingredient,Moderate,Dairy protein source,Lactose intolerant individuals,Dairy
Peanut oil,Vegetable Oil,High,May trigger severe allergic reactions,Peanut allergy patients,Nut
Egg powder,Natural Ingredient,Moderate,Protein source but allergenic to some individuals,Egg allergy patients,Egg
Sodium bicarbonate,Stabilizer,Low,Used as raising agent in baking,Generally safe,NULL
BHA (Butylated hydroxyanisole),Preservative,High,Synthetic antioxidant linked to long-term risks,General population (long-term risk),NULL
BHT (Butylated hydroxytoluene),Preservative,High,Synthetic preservative used to extend shelf life,General population (long-term risk),NULL
Natural flavor,Flavor Additive,Low,Derived from natural sources for flavor enhancement,Generally safe,NULL
Casein,Milk Protein,Moderate,Milk-derived protein causing allergic reactions,Dairy allergy patients,Dairy
Sunflower oil,Vegetable Oil,Low,Common cooking oil generally safe when consumed in moderation,Generally safe,NULL
Invert sugar,Sweetener,Moderate,Processed sugar that raises blood glucose quickly,Diabetic individuals,NULL
Glucose syrup,Sweetener,High,Rapidly absorbed sugar increasing blood glucose levels,Diabetic individuals,NULL
Fructose,Sweetener,Moderate,Natural sugar but excessive intake impacts metabolism,Diabetic individuals,NULL
Sucrose,Sweetener,Moderate,Common table sugar affecting blood glucose levels,Diabetic individuals,NULL
Lactose,Milk Sugar,Moderate,Milk sugar causing digestive issues in lactose intolerant individuals,Lactose intolerant individuals,Dairy
