Product_name,Brand_name,Ingredients
Butter,Amul,common salt. CONTAINS PERMITTED NATURAL COLOUR [ANNATTO]
Ghee,Amul,"butter,iodized salt , natural colour(annato)"
Amul Cheese,Amul,"Milk Solids, Emulsifiers (Commonly Citric Acid, Sodium Citrate, Or Calcium Phosphate), Common Salt, Acidity Regulator, Edible Common Salt, Antioxidant, Class II Preservatives"
Amul IceCream,Amul,"Milk Solids, Sugar,Emulsifiers, Stabilizers, Artificial Flavouring Substances, Colour"
Masti Dahi,Amul,"Pasteurised toned milk, milk sonds, active"
Lassi,Amul,"
Toned Milk Dahi, Water and Sugar. Contains Permitted Stabilizer (E440) and Added Nature Identical and Artificial Flavouring Substances (Rose"
Amul Buttermilk,Amul,"milk solids, salt, common salt, spices, condiments and permitted stabilizer"
Amul Fresh Milk,Amul,"Toned milk , Fat(3.0% minimum, SNF 8.5% minimum)"
Amul Shrikhand,Amul,"Milk solid, sugar , Flavour"
Amul Kool Flavoured Milk,Amul,"Standardised milk,sugar, milk solids, stabilizer(401)"
Parle-G Biscuits ,Parle,"Wheat Flour (67%), Sugar, Edible Vegetable Oil (Palm Oil), Invert Sugar Syrup (Sugar, Citric Acid), Raising Agents (503, 500), Edible Common Salt, Milk Solids (0.6%), Emulsifier (Di-acetyl Tartaric Acid Esters of Mono and Diglycerides of Edible Vegetable Oils), Dough Conditioner, Added Flavours (Artificial Flavouring Substance – Vanilla), D-Glucose, Levulose"
Hide & Seek Cookies ,Parle,"wheat flour, chocolate (23%), and edible vegetable oil (palm oil),artificial vanilla flavour                         "
20-20 cookies,Parle,"wheat flour, sugar, palm oil, milk solids, and 0.3% butter, artificial butter flavour"
KrackJack Biscuits ,Parle,"Refined wheat flour (maida), refined palm oil, and sugar (19.1%),artificial flavour for vanilla and butter"
Monaco Biscuits ,Parle,"refined wheat flour (maida), refined oils, sugar, and iodized salt (2.25%), artificial butter flavour"
Melody Chocolate ,Parle,"Sugar, liquid glucose, cocoa solids (10.8%), refined palm oil, milk solids, iodised salt, and soya lecithin."
Mango Bite Candy,Parle,"sugar, liquid glucose, mango powder (1%), and acidity regulator (330), synthetic food color (102) and added artificial mango flavoring substances."
Cheeselings,Parle,
Kismi Toffee,Parle,"Sugar, liquid glucose, edible vegetable oil, milk solids, salt, and soya lecithin emulsifier,Artificial cardamom (elaichi) flavoring."
Little Hearts,Britannia,"refined wheat flour (maida), sugar, and refined vegetable oils.milk, and soya components,raising agents and emulsifiers"
Bourbon,Britannia,"refined wheat flour (maida), sugar (32.5%), and refined palm/palmolein oil, cocoa solids (1.5%) and milk chocolate (0.1%) ,colours, emulsifiers, raising agents, and flavouring substances."
Croissant,Britannia,"Refined wheat flour (maida), sugar, and refined palm oil,vanilla flavoring substances and color 171,emulsifiers, preservatives (282, 202), and raising agents"
Good Day BIscuit,Britannia," SUGAR SYRUP, RAISING AGENTS & SODAL BUTTER 10.5%) ,IODISED SALT, EMULSIFIERS 471 472 ARTIFICIAL VANILLA FLAVOURING SUBSTANCES AND COLOUR 2
refined wheat flour, palm oil, sugar, nuts (almonds, cashews, pistachio), and milk solids."
Marie Biscuit,Britannia,"Refined wheat flour (maida) (66%), sugar, and refined palm oil,raising agents, emulsifiers, artificial flavors (milk, butter, vanilla), and a dough conditioner,"
Nice Biscuit,Britannia,"Refined wheat flour, sugar (26%), refined palm oil, and coconut products (4.5%),artificial coconut and vanilla flavoring substances."
Nutri Choice digestive biscuits,Britannia,"Wheat flour (atta) makes up 85.5% of the product,Contains refined palm oil, sugar, wheat bran, and milk products. "
50-50 Potazos Masti Masala,Britannia,"Refined wheat flour (maida), oil, sugar, and dehydrated potato flakes (11.3%),Spices & condiments (onion, garlic, red chilli, coriander, cumin) and dry mango powder."
Toastea Milk Atta Rusk,Britannia,"Refined wheat flour (maida) and wheat flour (atta),sugar, palm oil, milk solids (2%), yeast, salt, and various emulsifiers and improvers."
Jim Jam,Britannia,"refined wheat flour, 24% sugar, refined palm oil, and milk products,fruit products (0.7%) including banana powder and plum juice concentrate, along with mixed fruit, vanilla, and butter flavorings."
Aloo Bhujia,Haldirams,"Potato, Refined Palmolein Oil, Bengal Gram Flour (Besan), Potato Flakes, Potato Starch, Tapioca Starch, Tepary Beans (Moth Dal) Flour, lodised Salt, Red Chilli Powder, Black Salt, Acidity Regulator (INS 330), Black Pepper, Clove, Cardamom, Dried Ginger Powder, Dried Garlic Powder, Refined Sugar, Cumin Powder, Bay Leaves, Nutmeg, Cinnamon & Mint Leaves."
Bhujia sev,Haldirams,"Tapary Beans Flour (43%), Edible Vegetable Oil, Gram Pulse Flour (12%), Edible Common Salt Powder, Black Pepper Powder, Ginger Powder, Clove Powder, Mace Powder, Nutmeg Powder & Cardamom Powder"
Khatta Meetha,Haldirams,"Refined Rice Flakes (22%), Bengal Gram Flour (Besan) (21%/ Split Pulse Bengal Gram (Chana Dal) (7%), Groundnut (Peanuts) (5%), Sago (4%), Refined Sugar (4%), Red Lentils (Masur Whole) (2.5%), Green Peas (2%), Iodised Salt, Blac Red Chilli, Acidity Regulator & Antioxidant (E 330) and Turmeric. Allergy Advice : Contains Peanut May Contain Tree nuts, Gluten, Sesame Seed, Milk, Soya & Mustard Seed"
Rasgulla,Haldirams,"Refined Sugar, Water, Milk Solids (Chhanna) &
Rose Water"
Gulab Jamun,Haldirams,"Sugar Syrup, Khoya (7%), Clarifiec
Butter (Ghee), Chhena, Refined Wheat
Flour Maida) Rose Water and Cardamom"
Soan Papdi,Haldirams,"Refined Sugar, Refined Wheat Flour (Maida), Refined Palmolein Oil, Bengal Gram Flour (Besan), Hydrogenated Vegetable Oil (Vanaspati), Liquid Glucose, Cardamom, Almond & Pistachio Nuts. Allergen: Contains Almonds, Pistachios & Wheat May Contains Coconut, Cashew, Milk, Soy, Peanut & Sesame Seed."
Moong Dal,Haldirams,"Split Pulse Moong (Moong Dal) (77 %), Cotton Seed Oil Refined & lodised Salt."
Soya Sticks,Haldirams,"Tapioca Starch, Refined
Palmolein Oil, Soya Flour (8%), Split Split Pulse Urd (Urd Dal) Flour, Refined Sugar, lodised Salt, Hydrogenated Vegetable Oil (Vanaspati), Red Chilli Powder, Coriander Powder, Cumin Powder, Clove Powder, Dried Mango Powder, Black Pepper, Cardamom, Acidity Regulator (INS 330), Onion Powder, Garlic Powder, Black Salt, Asafoetida, Bay Leaf, Nutmeg, Cinnamon, Fennel Seed, Turmeric & Mustard Seed."
Mini Bhakarwadi,Haldirams,"Refined Wheat Flour (Maida),Bengal Gram Flour (Besan), Refined Palmolein Oil. Refined Sugar, lodised Salt, Dried Mango Powder, Red Chilli, Fennel Seed, Sesame Seed, Ajowan, Dried Ginger Powder, Black Pepper, Cinnamon, Clove, Cardamom, Bay Leaves & Asafoetida."
Masala Noodles,Maggi,"Noodles: Refined wheat flour (Maida), Palm oil, lodise Salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) and Humectant (451(i)).
Hydrolysed groundnut (peanut) protein, Mixed spices {(23.6%)
(Dehydrated onion, Coriander powder (3.2%), Red chilli powder (3%), Turmeric powder (2.8%), Dried garlic, Cumin powder (1.3%), Aniseed powder, Fenugreek powder, Ginger powder, Black pepper powder, Clove powder, Green cardamom powder 8 Nutmeg powder)), Noodle powder (Refined wheat flour (Maida), Palm oil, lodised Salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501 (i) 8 500(i)) & Humectant (451 (i))}, Sugar, Edible starch, Palm oil, Thickener (508), Caramel salt mix (Salt, Colour (150d) & Palm oil), Acidity regulators (3308 500(ii), lodised Salt, Flavour enhancer (635) and Mineral (Ferric pyrophosphate).
CONTAINS PERMITTED NATURAL COLOUR. MAY CONTAIN MILK SOLIDS, MUSTARD AND SOY"
